InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Date,Year,Month,Day,DayOfWeek,Hour,IsWeekend,TotalSales,InvoiceNo_encoded,StockCode_encoded,Description_encoded,CustomerID_encoded,Country_encoded,Date_encoded
536623,22815,CARD PSYCHEDELIC APPLES,24,2010-12-02 10:39:00,0.42,15601.0,United Kingdom,2010-12-02,2010,12,2,3,10,0,10.08,13,1027,278,953,27,1
536638,22131,FOOD CONTAINER SET 3 LOVE HEART ,6,2010-12-02 11:41:00,1.95,16244.0,United Kingdom,2010-12-02,2010,12,2,3,11,0,11.7,16,567,606,1143,27,1
536821,21238,RED RETROSPOT CUP,5,2010-12-02 17:17:00,0.85,17757.0,United Kingdom,2010-12-02,2010,12,2,3,17,0,4.25,24,211,1282,1571,27,1
536805,21788,KIDS RAIN MAC BLUE,24,2010-12-02 16:38:00,0.85,14775.0,United Kingdom,2010-12-02,2010,12,2,3,16,0,20.4,23,407,852,723,27,1
536681,22906,12 MESSAGE CARDS WITH ENVELOPES,1,2010-12-02 12:22:00,1.65,17287.0,United Kingdom,2010-12-02,2010,12,2,3,12,0,1.65,18,1077,7,1432,27,1
536805,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2010-12-02 16:38:00,1.25,14775.0,United Kingdom,2010-12-02,2010,12,2,3,16,0,15.0,23,106,1152,723,27,1
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-3,2010-12-02 14:23:00,0.20960000000000006,15838.0,United Kingdom,2010-12-02,2010,12,2,3,14,0,-7.960999999999998,3623,1613,1368,1019,27,1
536802,22941,CHRISTMAS LIGHTS 10 REINDEER,4,2010-12-02 16:29:00,8.5,17412.0,United Kingdom,2010-12-02,2010,12,2,3,16,0,34.0,22,1101,359,1469,27,1
536743,90178A,AMBER CHUNKY GLASS+BEAD NECKLACE,1,2010-12-02 13:32:00,11.95,17964.0,United Kingdom,2010-12-02,2010,12,2,3,13,0,11.95,19,1831,91,1627,27,1
536846,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2010-12-02 19:59:00,2.95,14573.0,United Kingdom,2010-12-02,2010,12,2,3,19,0,8.850000000000001,25,100,1527,664,27,1
536607,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-02 09:29:00,1.95,17732.0,United Kingdom,2010-12-02,2010,12,2,3,9,0,19.5,12,1751,832,1563,27,1
536756,22968,ROSE COTTAGE KEEPSAKE BOX ,1,2010-12-02 14:23:00,9.95,Unknown,United Kingdom,2010-12-02,2010,12,2,3,14,0,9.95,20,1124,1361,1705,27,1
536876,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2010-12-03 11:36:00,11.02,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,33.06,28,1103,361,1705,27,2
536876,22195,LARGE HEART MEASURING SPOONS,6,2010-12-03 11:36:00,3.36,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,20.16,28,610,871,1705,27,2
537034,21086,SET/6 RED SPOTTY PAPER CUPS,12,2010-12-03 17:20:00,0.65,13081.0,United Kingdom,2010-12-03,2010,12,3,4,17,0,7.800000000000001,35,149,1535,219,27,2
536982,22726,ALARM CLOCK BAKELIKE GREEN,3,2010-12-03 14:27:00,8.47,Unknown,United Kingdom,2010-12-03,2010,12,3,4,14,0,25.410000000000004,33,960,81,1705,27,2
536977,22137,BATHROOM SET LOVE HEART DESIGN,1,2010-12-03 14:18:00,2.95,17954.0,United Kingdom,2010-12-03,2010,12,3,4,14,0,2.95,32,572,148,1624,27,2
536865,21157,RED RETROSPOT WASHBAG,1,2010-12-03 11:28:00,4.21,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,4.21,26,174,1301,1705,27,2
536945,37489C,GREEN/BLUE FLOWER DESIGN BIG MUG,1,2010-12-03 12:24:00,1.95,14083.0,United Kingdom,2010-12-03,2010,12,3,4,12,0,1.95,30,1495,705,507,27,2
536874,22154,ANGEL DECORATION 3 BUTTONS ,1,2010-12-03 11:35:00,0.42,16891.0,United Kingdom,2010-12-03,2010,12,3,4,11,0,0.42,27,583,93,1327,27,2
536876,22355,CHARLOTTE BAG SUKI DESIGN,2,2010-12-03 11:36:00,1.66,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,3.32,28,703,309,1705,27,2
536876,21286,RETROSPOT CANDLE  LARGE,2,2010-12-03 11:36:00,5.06,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,10.12,28,230,1329,1705,27,2
536876,22960,JAM MAKING SET WITH JARS,3,2010-12-03 11:36:00,8.47,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,25.410000000000004,28,1117,815,1705,27,2
536920,21161,KEEP OUT BOYS DOOR HANGER ,1,2010-12-03 12:01:00,1.45,Unknown,United Kingdom,2010-12-03,2010,12,3,4,12,0,1.45,29,177,846,1705,27,2
536865,82581,TOILET METAL SIGN,1,2010-12-03 11:28:00,1.28,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,1.28,26,1584,1659,1705,27,2
536975,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-03 14:04:00,3.95,14911.0,EIRE,2010-12-03,2010,12,3,4,14,0,31.6,31,558,788,757,6,2
536876,90190C,SILVER/AMETHYST DROP EARRINGS LEAF,1,2010-12-03 11:36:00,2.96,Unknown,United Kingdom,2010-12-03,2010,12,3,4,11,0,2.96,28,1835,1556,1705,27,2
536988,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,2010-12-03 15:05:00,0.42,17238.0,United Kingdom,2010-12-03,2010,12,3,4,15,0,0.42,34,469,1404,1415,27,2
537036,82580,BATHROOM METAL SIGN,1,2010-12-03 17:28:00,0.55,15545.0,United Kingdom,2010-12-03,2010,12,3,4,17,0,0.55,36,1583,145,936,27,2
537209,20972,PINK CREAM FELT CRAFT TRINKET BOX ,2,2010-12-05 15:12:00,1.25,14606.0,United Kingdom,2010-12-05,2010,12,5,6,15,1,2.5,51,107,1157,673,27,3
537144,22553,PLASTERS IN TIN SKULLS,2,2010-12-05 13:00:00,1.65,15880.0,United Kingdom,2010-12-05,2010,12,5,6,13,1,3.3,42,833,1198,1035,27,3
537154,22113,GREY HEART HOT WATER BOTTLE,18,2010-12-05 13:05:00,3.75,15808.0,United Kingdom,2010-12-05,2010,12,5,6,13,1,67.5,43,557,708,1010,27,3
537196,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-12-05 13:55:00,3.25,15426.0,United Kingdom,2010-12-05,2010,12,5,6,13,1,3.25,46,1617,403,898,27,3
537111,22385,JUMBO BAG SPACEBOY DESIGN,5,2010-12-05 12:08:00,1.95,14810.0,United Kingdom,2010-12-05,2010,12,5,6,12,1,9.75,39,726,835,734,27,3
537207,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-12-05 15:06:00,0.95,17402.0,United Kingdom,2010-12-05,2010,12,5,6,15,1,0.95,50,128,1341,1466,27,3
537051,22469,HEART OF WICKER SMALL,2,2010-12-05 11:12:00,1.65,15708.0,United Kingdom,2010-12-05,2010,12,5,6,11,1,3.3,38,779,760,982,27,3
537136,21090,SET/6 COLLAGE PAPER PLATES,2,2010-12-05 12:42:00,0.85,12748.0,United Kingdom,2010-12-05,2010,12,5,6,12,1,1.7,40,152,1530,131,27,3
537138,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,6,2010-12-05 12:44:00,0.85,17211.0,United Kingdom,2010-12-05,2010,12,5,6,12,1,5.1,41,855,1809,1402,27,3
537218,85016,SET OF 6 VINTAGE NOTELETS KIT,6,2010-12-05 15:46:00,2.55,12763.0,Japan,2010-12-05,2010,12,5,6,15,1,15.299999999999999,52,1719,1496,139,16,3
537199,82616B,FRAPPUCINO SCARF KNITTING KIT,1,2010-12-05 14:06:00,2.95,15894.0,United Kingdom,2010-12-05,2010,12,5,6,14,1,2.95,47,1591,609,1040,27,3
537204,21803,CHRISTMAS TREE STAR DECORATION,10,2010-12-05 14:45:00,0.42,15555.0,United Kingdom,2010-12-05,2010,12,5,6,14,1,4.2,49,413,370,940,27,3
537144,21679,SKULLS  STICKERS,2,2010-12-05 13:00:00,0.85,15880.0,United Kingdom,2010-12-05,2010,12,5,6,13,1,1.7,42,360,1565,1035,27,3
537201,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-12-05 14:19:00,1.65,12472.0,Germany,2010-12-05,2010,12,5,6,14,1,19.799999999999997,48,634,52,39,10,3
537156,21671,RED SPOT CERAMIC DRAWER KNOB,12,2010-12-05 13:08:00,1.25,17858.0,United Kingdom,2010-12-05,2010,12,5,6,13,1,15.0,44,356,1304,1602,27,3
537159,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-12-05 13:17:00,9.95,14527.0,United Kingdom,2010-12-05,2010,12,5,6,13,1,9.95,45,205,1291,647,27,3
537042,21930,JUMBO STORAGE BAG SKULLS,1,2010-12-05 10:45:00,1.95,13838.0,United Kingdom,2010-12-05,2010,12,5,6,10,1,1.95,37,475,843,437,27,3
537440,21587,COSY HOUR GIANT TUBE MATCHES,12,2010-12-06 17:16:00,2.55,17869.0,United Kingdom,2010-12-06,2010,12,6,0,17,0,30.599999999999998,66,324,397,1607,27,4
537434,90059E,DIAMANTE HAIR GRIP PACK/2 RUBY,1,2010-12-06 16:57:00,1.69,Unknown,United Kingdom,2010-12-06,2010,12,6,0,16,0,1.69,65,1817,438,1705,27,4
537378,22697,GREEN REGENCY TEACUP AND SAUCER,12,2010-12-06 13:06:00,2.95,14911.0,EIRE,2010-12-06,2010,12,6,0,13,0,35.400000000000006,60,938,699,757,6,4
537391,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2010-12-06 13:53:00,2.55,16550.0,United Kingdom,2010-12-06,2010,12,6,0,13,0,15.299999999999999,61,702,924,1221,27,4
537375,21976,PACK OF 60 MUSHROOM CAKE CASES,3,2010-12-06 12:55:00,0.55,17019.0,United Kingdom,2010-12-06,2010,12,6,0,12,0,1.6500000000000001,59,491,1068,1354,27,4
537400,71053,WHITE METAL LANTERN,2,2010-12-06 14:36:00,3.75,17191.0,United Kingdom,2010-12-06,2010,12,6,0,14,0,7.5,63,1544,1780,1400,27,4
537399,84378,SET OF 3 HEART COOKIE CUTTERS,1,2010-12-06 14:31:00,1.25,13030.0,United Kingdom,2010-12-06,2010,12,6,0,14,0,1.25,62,1615,1449,210,27,4
537240,21722,SWEET PUDDING STICKER SHEET,1,2010-12-06 10:08:00,1.66,Unknown,United Kingdom,2010-12-06,2010,12,6,0,10,0,1.66,54,379,1632,1705,27,4
537372,85020,ROUND PINK HEART MIRROR,8,2010-12-06 12:52:00,2.1,16919.0,United Kingdom,2010-12-06,2010,12,6,0,12,0,16.8,58,1720,1372,1333,27,4
537428,20685,DOORMAT RED RETROSPOT,2,2010-12-06 15:38:00,7.95,17320.0,United Kingdom,2010-12-06,2010,12,6,0,15,0,15.9,64,56,472,1438,27,4
537434,22840,ROUND CAKE TIN VINTAGE RED,1,2010-12-06 16:57:00,16.13,Unknown,United Kingdom,2010-12-06,2010,12,6,0,16,0,16.13,65,1039,1370,1705,27,4
537240,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2010-12-06 10:08:00,8.47,Unknown,United Kingdom,2010-12-06,2010,12,6,0,10,0,8.47,54,716,74,1705,27,4
537237,22223,CAKE PLATE LOVEBIRD PINK,1,2010-12-06 09:58:00,10.17,Unknown,United Kingdom,2010-12-06,2010,12,6,0,9,0,10.17,53,625,256,1705,27,4
537371,90179C,BLACK FINE BEAD NECKLACE W TASSEL,1,2010-12-06 12:47:00,5.95,15028.0,United Kingdom,2010-12-06,2010,12,6,0,12,0,5.95,57,1832,173,788,27,4
537362,22360,GLASS JAR ENGLISH CONFECTIONERY,6,2010-12-06 12:34:00,2.95,17596.0,United Kingdom,2010-12-06,2010,12,6,0,12,0,17.700000000000003,56,707,666,1518,27,4
C537251,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,2010-12-06 10:45:00,2.95,Unknown,United Kingdom,2010-12-06,2010,12,6,0,10,0,-5.9,3625,451,1382,1705,27,4
537265,21907,I'M ON HOLIDAY METAL SIGN,1,2010-12-06 11:26:00,2.1,15919.0,United Kingdom,2010-12-06,2010,12,6,0,11,0,2.1,55,462,792,1048,27,4
537645,85099B,JUMBO BAG RED RETROSPOT,4,2010-12-07 15:34:00,4.21,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,16.84,72,1751,832,1705,27,5
537638,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2010-12-07 15:28:00,4.21,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,4.21,70,761,710,1705,27,5
537619,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-07 13:53:00,2.55,13786.0,United Kingdom,2010-12-07,2010,12,7,1,13,0,81.6,68,1757,1774,426,27,5
537638,22945,CHRISTMAS METAL TAGS ASSORTED ,1,2010-12-07 15:28:00,11.02,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,11.02,70,1105,363,1705,27,5
537666,84913B,MINT GREEN ROSE TOWEL,2,2010-12-07 18:36:00,3.36,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,6.72,73,1683,976,1705,27,5
537666,22534,MAGIC DRAWING SLATE SPACEBOY ,1,2010-12-07 18:36:00,0.85,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,0.85,73,821,932,1705,27,5
537638,22473,TV DINNER TRAY VINTAGE PAISLEY,2,2010-12-07 15:28:00,11.02,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,22.04,70,783,1701,1705,27,5
537623,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2010-12-07 14:31:00,2.95,15858.0,United Kingdom,2010-12-07,2010,12,7,1,14,0,5.9,69,1074,2,1027,27,5
537666,22570,FELTCRAFT CUSHION RABBIT,1,2010-12-07 18:36:00,7.62,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,7.62,73,849,572,1705,27,5
537534,22501,PICNIC BASKET WICKER LARGE,2,2010-12-07 11:48:00,0.20960000000000006,Unknown,United Kingdom,2010-12-07,2010,12,7,1,11,0,0.0,67,801,1135,1705,27,5
537645,22501,PICNIC BASKET WICKER LARGE,1,2010-12-07 15:34:00,21.23,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,21.23,72,801,1135,1705,27,5
537666,21324,HANGING MEDINA LANTERN SMALL,1,2010-12-07 18:36:00,5.91,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,5.91,73,239,739,1705,27,5
537666,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6,2010-12-07 18:36:00,1.66,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,9.959999999999999,73,1080,1441,1705,27,5
537666,22431,WATERING CAN BLUE ELEPHANT,1,2010-12-07 18:36:00,4.21,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,4.21,73,752,1765,1705,27,5
537640,22084,PAPER CHAIN KIT EMPIRE,1,2010-12-07 15:31:00,6.77,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,6.77,71,540,1093,1705,27,5
537638,21955,DOORMAT UNION JACK GUNS AND ROSES,1,2010-12-07 15:28:00,14.43,Unknown,United Kingdom,2010-12-07,2010,12,7,1,15,0,14.43,70,486,477,1705,27,5
537666,20794,BLUE  TILE HOOK,1,2010-12-07 18:36:00,5.06,Unknown,United Kingdom,2010-12-07,2010,12,7,1,18,0,5.06,73,88,182,1705,27,5
537823,21754,HOME BUILDING BLOCK WORD,1,2010-12-08 14:25:00,11.87,Unknown,United Kingdom,2010-12-08,2010,12,8,2,14,0,11.87,81,393,774,1705,27,6
537802,22968,ROSE COTTAGE KEEPSAKE BOX ,2,2010-12-08 13:11:00,9.95,13455.0,United Kingdom,2010-12-08,2010,12,8,2,13,0,19.9,78,1124,1361,329,27,6
537781,22584,PACK OF 6 PANNETONE GIFT BOXES,1,2010-12-08 12:46:00,2.55,17341.0,United Kingdom,2010-12-08,2010,12,8,2,12,0,2.55,77,861,1062,1444,27,6
537760,21735,TWO DOOR CURIO CABINET,18,2010-12-08 11:42:00,10.95,15973.0,United Kingdom,2010-12-08,2010,12,8,2,11,0,179.0,75,384,1702,1060,27,6
537823,22941,CHRISTMAS LIGHTS 10 REINDEER,3,2010-12-08 14:25:00,16.98,Unknown,United Kingdom,2010-12-08,2010,12,8,2,14,0,50.94,81,1101,359,1705,27,6
537823,90059A,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,2010-12-08 14:25:00,1.69,Unknown,United Kingdom,2010-12-08,2010,12,8,2,14,0,1.69,81,1816,437,1705,27,6
537818,71496A,A4 WALL TIDY BLUE OFFICE,12,2010-12-08 13:53:00,0.65,12766.0,Portugal,2010-12-08,2010,12,8,2,13,0,7.800000000000001,80,1547,69,140,21,6
537823,48185,DOORMAT FAIRY CAKE,1,2010-12-08 14:25:00,14.43,Unknown,United Kingdom,2010-12-08,2010,12,8,2,14,0,14.43,81,1536,462,1705,27,6
537815,20725,LUNCH BAG RED RETROSPOT,10,2010-12-08 13:49:00,1.65,17676.0,United Kingdom,2010-12-08,2010,12,8,2,13,0,16.5,79,71,916,1542,27,6
537765,20996,JAZZ HEARTS ADDRESS BOOK,7,2010-12-08 12:08:00,0.42,14606.0,United Kingdom,2010-12-08,2010,12,8,2,12,0,2.94,76,121,816,673,27,6
537802,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,4,2010-12-08 13:11:00,4.25,13455.0,United Kingdom,2010-12-08,2010,12,8,2,13,0,17.0,78,1560,1515,329,27,6
537823,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-08 14:25:00,3.19,Unknown,United Kingdom,2010-12-08,2010,12,8,2,14,0,25.52,81,1678,109,1705,27,6
537868,22716,CARD CIRCUS PARADE,12,2010-12-08 16:49:00,0.42,12433.0,Norway,2010-12-08,2010,12,8,2,16,0,5.04,82,952,272,29,19,6
537781,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2010-12-08 12:46:00,2.95,17341.0,United Kingdom,2010-12-08,2010,12,8,2,12,0,2.95,77,975,937,1444,27,6
537674,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2010-12-08 09:51:00,2.95,15628.0,United Kingdom,2010-12-08,2010,12,8,2,9,0,35.400000000000006,74,1578,1807,958,27,6
537823,21112,"SWISS ROLL TOWEL, PINK  SPOTS",2,2010-12-08 14:25:00,5.91,Unknown,United Kingdom,2010-12-08,2010,12,8,2,14,0,11.82,81,159,1641,1705,27,6
537674,21544,SKULLS  WATER TRANSFER TATTOOS ,12,2010-12-08 09:51:00,0.85,15628.0,United Kingdom,2010-12-08,2010,12,8,2,9,0,10.2,74,313,1566,958,27,6
538009,21843,RED RETROSPOT CAKE STAND,6,2010-12-09 12:17:00,10.95,14911.0,EIRE,2010-12-09,2010,12,9,3,12,0,65.69999999999999,84,430,1279,757,6,7
538071,21877,HOME SWEET HOME MUG,1,2010-12-09 14:09:00,3.36,Unknown,United Kingdom,2010-12-09,2010,12,9,3,14,0,3.36,88,444,780,1705,27,7
538149,22469,HEART OF WICKER SMALL,3,2010-12-09 16:27:00,4.21,Unknown,United Kingdom,2010-12-09,2010,12,9,3,16,0,12.629999999999999,90,779,760,1705,27,7
C538115,22251,BIRDHOUSE DECORATION MAGIC GARDEN,-3,2010-12-09 15:30:00,1.25,16817.0,United Kingdom,2010-12-09,2010,12,9,3,15,0,-7.960999999999998,3626,641,162,1309,27,7
538171,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2010-12-09 20:01:00,3.75,17530.0,United Kingdom,2010-12-09,2010,12,9,3,20,0,3.75,93,981,584,1498,27,7
538071,22115,METAL SIGN EMPIRE TEA,2,2010-12-09 14:09:00,5.91,Unknown,United Kingdom,2010-12-09,2010,12,9,3,14,0,11.82,88,559,951,1705,27,7
538153,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,2010-12-09 16:31:00,4.21,Unknown,United Kingdom,2010-12-09,2010,12,9,3,16,0,4.21,91,577,350,1705,27,7
538149,15056p,EDWARDIAN PARASOL PINK,1,2010-12-09 16:27:00,12.72,Unknown,United Kingdom,2010-12-09,2010,12,9,3,16,0,12.72,90,15,507,1705,27,7
538071,20713,JUMBO BAG OWLS,1,2010-12-09 14:09:00,4.21,Unknown,United Kingdom,2010-12-09,2010,12,9,3,14,0,4.21,88,64,828,1705,27,7
538071,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-09 14:09:00,11.02,Unknown,United Kingdom,2010-12-09,2010,12,9,3,14,0,11.02,88,555,1391,1705,27,7
538168,21484,CHICK GREY HOT WATER BOTTLE,2,2010-12-09 19:23:00,3.45,14702.0,United Kingdom,2010-12-09,2010,12,9,3,19,0,6.9,92,291,318,698,27,7
538071,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,2010-12-09 14:09:00,7.62,Unknown,United Kingdom,2010-12-09,2010,12,9,3,14,0,15.24,88,1622,1462,1705,27,7
538002,22690,DOORMAT HOME SWEET HOME BLUE ,2,2010-12-09 11:48:00,7.95,14932.0,Channel Islands,2010-12-09,2010,12,9,3,11,0,15.9,83,932,465,763,2,7
538077,22398,MAGNETS PACK OF 4 SWALLOWS,12,2010-12-09 14:19:00,1.25,14667.0,United Kingdom,2010-12-09,2010,12,9,3,14,0,15.0,89,729,935,685,27,7
538053,47480,HANGING PHOTO CLIP ROPE LADDER,96,2010-12-09 13:34:00,1.45,15856.0,United Kingdom,2010-12-09,2010,12,9,3,13,0,139.2,87,1509,744,1026,27,7
538051,22945,CHRISTMAS METAL TAGS ASSORTED ,12,2010-12-09 13:24:00,0.85,18041.0,United Kingdom,2010-12-09,2010,12,9,3,13,0,10.2,86,1105,363,1643,27,7
538010,22236,CAKE STAND 3 TIER MAGIC GARDEN,12,2010-12-09 12:20:00,10.95,17526.0,United Kingdom,2010-12-09,2010,12,9,3,12,0,131.39999999999998,85,632,258,1496,27,7
538177,22572,ROCKING HORSE GREEN CHRISTMAS ,1,2010-12-10 09:51:00,1.66,Unknown,United Kingdom,2010-12-10,2010,12,10,4,9,0,1.66,94,851,1353,1705,27,8
538250,20973,12 PENCIL SMALL TUBE WOODLAND,1,2010-12-10 12:20:00,0.65,18118.0,United Kingdom,2010-12-10,2010,12,10,4,12,0,0.65,97,108,8,1661,27,8
538349,22570,FELTCRAFT CUSHION RABBIT,2,2010-12-10 14:59:00,7.62,Unknown,United Kingdom,2010-12-10,2010,12,10,4,14,0,15.24,100,849,572,1705,27,8
538349,85066,CREAM SWEETHEART MINI CHEST,1,2010-12-10 14:59:00,21.95,Unknown,United Kingdom,2010-12-10,2010,12,10,4,14,0,25.49,100,1745,409,1705,27,8
538177,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6,2010-12-10 09:51:00,2.51,Unknown,United Kingdom,2010-12-10,2010,12,10,4,9,0,15.059999999999999,94,1616,1444,1705,27,8
538198,21867,PINK UNION JACK  LUGGAGE TAG,3,2010-12-10 11:01:00,1.25,17827.0,United Kingdom,2010-12-10,2010,12,10,4,11,0,3.75,95,438,1188,1593,27,8
